,Unnamed: 0,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
0,345,0.12417546,0.12417546,0.12417546,0.12417546,0.12417546
1,346,0.4849439,0.09375281,0.051528737,0.09794506,0.037695765
2,347,0.8043829,0.8043829,0.8043829,0.8043829,0.8043829
3,348,0.45910648,0.008825631,0.013661851,0.016652334,0.0067449636
4,349,0.05214464,0.05214464,0.05214464,0.05214464,0.05214464
5,350,0.044029128,0.09375279,0.051528737,0.09794506,0.037695765
6,351,0.97315156,0.97960037,0.9848551,0.9812386,0.97013223
7,352,0.2638096,0.057015855,0.053001344,0.061990052,0.051434703
8,353,0.8606264,0.07727727,0.05304583,0.07861698,0.051922265
9,354,0.096610844,0.096610844,0.096610844,0.096610844,0.096610844
10,355,0.044613995,0.12576447,0.06369108,0.118914254,0.0645597
11,356,0.3142961,0.178032,0.18218873,0.18322332,0.17941351
12,357,0.49484167,0.15027243,0.27672207,0.24030754,0.24182792
13,358,0.14989996,0.14989996,0.14989996,0.14989996,0.14989996
14,359,0.8060606,0.8060606,0.8060606,0.8060606,0.8060606
15,360,0.1498377,0.068537325,0.042579923,0.0676338,0.03701
16,361,0.379475,0.08451949,0.10927436,0.13262346,0.09987404
17,362,0.35422483,0.29395783,0.31724367,0.37457183,0.31089434
18,363,0.013838169,0.015455856,0.021913413,0.024600908,0.030250223
19,364,0.7448382,0.7448382,0.7448382,0.7448382,0.7448382
20,365,0.9897058,0.9897058,0.9901148,0.9897058,0.9897058
21,366,0.15393208,0.15393208,0.15393208,0.15393208,0.15393208
22,367,0.35519844,0.64826846,0.71359354,0.69938165,0.6670621
23,368,0.061372403,0.09757634,0.1287863,0.11787961,0.09396992
24,369,0.6047338,0.058114775,0.059434205,0.08384534,0.04970187
25,370,0.39123276,0.39123276,0.39123276,0.39123276,0.39123276
26,371,0.40787512,0.40787512,0.40787512,0.40787512,0.40787512
27,372,0.07451897,0.08445913,0.08494508,0.09966615,0.08637772
28,373,0.1097521,0.15906325,0.11330831,0.18852858,0.10757083
29,374,0.13150294,0.043253057,0.048196007,0.059024166,0.045472946
30,375,0.061113153,0.06764506,0.05121982,0.06532262,0.027862461
31,376,0.12701628,0.11635688,0.15682252,0.15210512,0.1517221
32,377,0.20646411,0.20646411,0.20646411,0.20646411,0.20646411
33,378,0.06546748,0.040593587,0.062241014,0.07533554,0.04537034
34,379,0.86419123,0.67775834,0.7150901,0.74380994,0.7130158
35,380,0.49112812,0.10894774,0.118687116,0.15194134,0.08709331
36,381,0.77060366,0.059955653,0.08437149,0.077880055,0.049900662
37,382,0.100277014,0.060445033,0.062142067,0.060191475,0.06282351
38,383,0.07133968,0.108540274,0.10345922,0.10469829,0.08288668
39,384,0.24138372,0.24210048,0.24996589,0.24826227,0.257349
40,385,0.0840705,0.11444791,0.13604712,0.14881971,0.13709566
41,386,0.07462884,0.07462884,0.07462884,0.07462884,0.07462884
42,387,0.44752702,0.44752702,0.44752702,0.44752702,0.44752702
43,388,0.3606775,0.053535968,0.039718412,0.05977898,0.04129365
44,389,0.5530122,0.11222376,0.102773465,0.109784454,0.104084454
45,390,0.064562276,0.076026,0.07496236,0.1032705,0.07198337
46,391,0.7731617,0.109449826,0.15299803,0.16671053,0.13255526
47,392,0.09958848,0.12182238,0.13422778,0.18150298,0.12257708
48,393,0.7696527,0.76848316,0.7705122,0.7687253,0.77491593
49,394,0.16497143,0.07861318,0.047910493,0.091511235,0.052652918
50,395,0.07697384,0.07697384,0.07697384,0.07697384,0.07697384
51,396,0.95131403,0.95131403,0.95131403,0.95131403,0.95131403
52,397,0.08092368,0.10754487,0.05528058,0.11175735,0.06649999
53,398,0.14949687,0.05235472,0.062651604,0.08821287,0.03739623
54,399,0.07720832,0.07720832,0.07720832,0.07720832,0.07720832
55,400,0.08990584,0.08321145,0.08644974,0.1312615,0.085258946
56,401,0.089566216,0.089566216,0.089566216,0.089566216,0.089566216
57,402,0.087514296,0.06791863,0.07919674,0.09142567,0.060977414
58,403,0.16546579,0.1414941,0.19288765,0.19186577,0.17703393
59,404,0.6045807,0.66198504,0.690856,0.6985791,0.632431
60,405,0.89013106,0.6293562,0.66845006,0.6613394,0.5154597
61,406,0.64286625,0.15385744,0.17626284,0.24101633,0.11164131
62,407,0.051109817,0.048946057,0.060184278,0.07749899,0.04559327
63,408,0.049197365,0.0139296595,0.036140777,0.03925886,0.011034323
64,409,0.1077732,0.13246323,0.119675025,0.1547801,0.11569134
65,410,0.89613044,0.8606264,0.90069985,0.88546944,0.8361677
66,411,0.16414915,0.16414915,0.16414915,0.16414915,0.16414915
67,412,0.2767749,0.10015552,0.10873494,0.11728765,0.100806914
68,413,0.604768,0.56086785,0.6358631,0.6048147,0.5905665
69,414,0.9627724,0.9790141,0.98081344,0.9800028,0.97699755
70,415,0.15582243,0.12046868,0.44153488,0.24119157,0.102513425
0,416,0.11706321,0.042739466,0.051370937,0.0522884,0.04938671
1,417,0.836984,0.85539067,0.880833,0.8606264,0.8606264
2,418,0.09385793,0.08462421,0.064956576,0.07951272,0.057795875
3,419,0.13360648,0.10657344,0.0448762,0.086767636,0.039197754
4,420,0.0987709,0.0987709,0.0987709,0.0987709,0.0987709
5,421,0.05309403,0.05309403,0.05309403,0.05309403,0.05309403
6,422,0.5252105,0.5610736,0.57272846,0.57894164,0.561305
7,423,0.5597396,0.28639176,0.3081381,0.34917462,0.3297779
8,424,0.17889215,0.17889215,0.17889215,0.17889215,0.17889215
9,425,0.06106974,0.100123465,0.10425726,0.14827491,0.085472554
10,426,0.058562644,0.085567184,0.085353754,0.11158068,0.08060165
11,427,0.793083,0.0769522,0.10686469,0.10585118,0.08485786
12,428,0.11798455,0.07892699,0.09876804,0.11409402,0.09220015
13,429,0.4895143,0.63518447,0.69542736,0.6604694,0.6364068
14,430,0.4292376,0.050102673,0.31089434,0.065892935,0.051948432
15,431,0.30415708,0.080507256,0.09430527,0.10501691,0.105285406
16,432,0.09226603,0.09226603,0.09226603,0.09226603,0.09226603
17,433,0.1628375,0.15319951,0.16168848,0.16964665,0.15837178
18,434,0.24035442,0.24035442,0.24035442,0.24035442,0.24035442
19,435,0.5932157,0.5654318,0.60470676,0.59856874,0.5971288
20,436,0.055856306,0.0006458549,0.0016698673,0.0015491933,0.0014744134
21,437,0.062491838,0.077137046,0.092366844,0.0840444,0.09206541
22,438,0.21300532,0.09375279,0.051528737,0.09794506,0.037695765
23,439,0.062083997,0.10657344,0.0448762,0.086767636,0.039197754
24,440,0.3602763,0.1205284,0.15061869,0.13314337,0.14748438
25,441,0.13032678,0.13032678,0.13032678,0.13032678,0.13032678
26,442,0.068249516,0.055763844,0.06241674,0.06565282,0.06257454
27,443,0.10935152,0.0074081263,0.03156375,0.02757644,0.017720202
28,444,0.9002991,0.9002991,0.9002991,0.9002991,0.9002991
29,445,0.6341368,0.063664794,0.06693531,0.1019761,0.060157787
30,446,0.06174837,0.068573594,0.03438408,0.065683074,0.04073646
31,447,0.047094602,0.047094602,0.047094602,0.047094602,0.047094602
32,448,0.023782842,0.023782842,0.023782842,0.023782842,0.023782842
33,449,0.95880705,0.9613579,0.9611236,0.9611721,0.96134114
34,450,0.27061006,0.24072261,0.24167658,0.24198832,0.24134558
35,451,0.7746565,0.53490317,0.5904893,0.5994684,0.5252268
36,452,0.7210549,0.7210549,0.7210549,0.7210549,0.7210549
37,453,0.58935887,0.3218817,0.4128015,0.40352193,0.5441335
38,454,0.13977303,0.14996567,0.13569525,0.136145,0.12551261
39,455,0.08311843,0.08311843,0.08311843,0.08311843,0.08311843
40,456,0.38899755,0.118666865,0.12182182,0.14255925,0.113157585
41,457,0.22001085,0.7684084,0.78814983,0.7860807,0.77579516
42,458,0.20006678,0.09375279,0.051528737,0.09794506,0.037695765
43,459,0.73275197,0.1101458,0.17115375,0.1486454,0.14507034
44,460,0.061646674,0.068573385,0.04546676,0.09097862,0.037535932
45,461,0.15447703,0.15447703,0.15447703,0.15447703,0.15447703
46,462,0.62074417,0.6341961,0.63447034,0.60514414,0.58547527
47,463,0.333811,0.5058873,0.49634612,0.51819557,0.4527462
48,464,0.04284075,0.064138435,0.03479298,0.061771315,0.03167422
49,465,0.8749361,0.8749361,0.8749361,0.8749361,0.8749361
50,466,0.0856715,0.076777264,0.07977216,0.08099602,0.07373506
51,467,0.1058464,0.1058464,0.1058464,0.1058464,0.1058464
52,468,0.80578995,0.80578995,0.80578995,0.80578995,0.80578995
53,469,0.02563725,0.061936524,0.056805618,0.06698442,0.05904986
54,470,0.770347,0.05089289,0.08032872,0.07935478,0.061195597
55,471,0.6546367,0.6546367,0.6546367,0.6546367,0.6546367
56,472,0.7216701,0.21299684,0.2643179,0.25547817,0.24354394
57,473,0.07214073,0.059950348,0.06668509,0.070040815,0.060576636
58,474,0.017712155,0.017712155,0.017712155,0.017712155,0.017712155
59,475,0.08537037,0.08122031,0.059885275,0.09734132,0.057018388
60,476,0.05428824,0.07685864,0.057730194,0.08074672,0.051494267
61,477,0.8723443,0.058616363,0.058134854,0.07697412,0.06037487
62,478,0.09380265,0.1293965,0.13370016,0.16002738,0.07801269
63,479,0.9595688,0.9525036,0.9594616,0.9590444,0.95262015
64,480,0.15422982,0.074673094,0.08113501,0.118426695,0.05522892
65,481,0.46107864,0.022239255,0.049524784,0.046776738,0.060014248
66,482,0.050849423,0.05297843,0.04525556,0.06566202,0.042360164
67,483,0.7370787,0.0898314,0.06674,0.09237338,0.061239626
68,484,0.3904488,0.07019144,0.06216813,0.0826725,0.067931585
69,485,0.2620965,0.050388202,0.052399904,0.073738515,0.06298119
70,486,0.12767126,0.10207181,0.11124806,0.13904251,0.08938591
71,487,0.13128279,0.058187786,0.09090374,0.09648656,0.07950782
72,488,0.3195157,0.037684567,0.05531785,0.062000707,0.052326713
73,489,0.1440664,0.1440664,0.1440664,0.1440664,0.1440664
74,490,0.69542736,0.69542736,0.69542736,0.69542736,0.69542736
75,491,0.556069,0.556069,0.556069,0.556069,0.556069
76,492,0.18118003,0.18118003,0.18118003,0.18118003,0.18118003
77,493,0.314754,0.314754,0.314754,0.314754,0.314754
78,494,0.38749024,0.06904351,0.077933654,0.080109365,0.071357146
79,495,0.7403211,0.8060606,0.88824683,0.8785311,0.856585
80,496,0.27854687,0.0745055,0.048788954,0.08105657,0.044852436
81,497,0.24028671,0.101071194,0.07418459,0.09085991,0.0739493
82,498,0.8355208,0.88824683,0.9085476,0.8962681,0.8606264
83,499,0.06647454,0.07097973,0.07356164,0.079964526,0.068816885
84,500,0.6364068,0.54669327,0.6013085,0.5876557,0.57755166
85,501,0.03911824,0.03911824,0.03911824,0.03911824,0.03911824
86,502,0.12929781,0.12929781,0.12929781,0.12929781,0.12929781
87,503,0.5840784,0.5840784,0.5840784,0.5840784,0.5840784
88,504,0.19013868,0.110744506,0.12585789,0.15526472,0.11571899
89,505,0.1284585,0.07383945,0.09302745,0.11867034,0.07956968
90,506,0.60274905,0.60274905,0.60274905,0.60274905,0.60274905
91,507,0.14980036,0.14980036,0.14980036,0.14980036,0.14980036
92,508,0.16372108,0.077959046,0.08570044,0.08493804,0.08500155
93,509,0.06644128,0.08273443,0.08589759,0.11715089,0.061227597
94,510,0.102069944,0.09096222,0.09470446,0.10818934,0.10053745
95,511,0.72979426,0.05429775,0.032839853,0.075768694,0.034946278
96,512,0.052613165,0.070661224,0.051463626,0.105867356,0.0558969
97,513,0.1716584,0.069268025,0.07265612,0.0852271,0.076081194
98,514,0.8606264,0.8606264,0.8606264,0.8606264,0.8606264
99,515,0.40335795,0.40335795,0.40335795,0.40335795,0.40335795
100,516,0.082520425,0.11237046,0.07864267,0.1362375,0.114921615
101,517,0.18642497,0.18642497,0.18642497,0.18642497,0.18642497
102,518,0.4031252,0.5721978,0.6617058,0.62151086,0.6400845
103,519,0.37757698,0.19517893,0.08537676,0.21391428,0.09504989
104,520,0.15715972,0.052153967,0.037128568,0.040692005,0.033007473
105,521,0.15508263,0.15508263,0.15508263,0.15508263,0.15508263
106,522,0.7453135,0.7453135,0.7453135,0.7453135,0.7453135
107,523,0.04308006,0.04308006,0.04308006,0.04308006,0.04308006
108,524,0.078011766,0.08376546,0.05300708,0.087152705,0.05693189
109,525,0.24737886,0.24737886,0.24737886,0.24737886,0.24737886
0,595,0.067996934,0.08056775,0.07135878,0.06838816,0.06786621
1,596,0.045265913,0.11983013,0.072006054,0.116225384,0.07761974
2,597,0.8062025,0.17824006,0.18579407,0.19224818,0.1831488
3,598,0.15938844,0.11172746,0.16585584,0.17967713,0.15152924
4,599,0.19613183,0.14929475,0.19296525,0.17082731,0.14874938
5,600,0.79006875,0.79006875,0.79006875,0.79006875,0.79006875
6,601,0.6351822,0.6351822,0.6351822,0.6351822,0.6351822
7,602,0.7736482,0.7736482,0.7736482,0.7736482,0.7736482
8,603,0.21700457,0.10038313,0.08701835,0.056006245,0.052530456
9,604,0.29946032,0.068573594,0.03438408,0.065683074,0.04073646
10,605,0.10174476,0.10174476,0.10174476,0.10174476,0.10174476
11,606,0.8155774,0.044970006,0.04764688,0.061637398,0.0465228
12,607,0.046693444,0.046693444,0.046693444,0.046693444,0.046693444
13,608,0.061975155,0.061975155,0.061975155,0.061975155,0.061975155
14,609,0.094658725,0.094658725,0.094658725,0.094658725,0.094658725
15,610,0.27685142,0.042909823,0.045337215,0.056971315,0.04603945
16,611,0.08420446,0.072427124,0.08904054,0.09416316,0.07789315
17,612,0.06574431,0.03796034,0.036905125,0.06222616,0.033411317
18,613,0.70188355,0.70188355,0.70188355,0.70188355,0.70188355
19,614,0.16339082,0.16339082,0.16339082,0.16339082,0.16339082
20,615,0.061214577,0.061214577,0.061214577,0.061214577,0.061214577
21,616,0.10853094,0.10853094,0.10853094,0.10853094,0.10853094
22,617,0.84269387,0.9433488,0.94832593,0.9480856,0.93232936
23,618,0.31089434,0.32030988,0.37851253,0.4074655,0.35277393
24,619,0.1692184,0.1692184,0.1692184,0.1692184,0.1692184
25,620,0.86180323,0.86180323,0.86180323,0.86180323,0.86180323
26,621,0.69542736,0.768258,0.7939126,0.774987,0.80462223
27,622,0.24101235,0.2822436,0.3561913,0.41889906,0.24082576
28,623,0.8785311,0.93232936,0.9480856,0.9409876,0.93232936
29,624,0.4790134,0.4560005,0.4889633,0.49051818,0.31089434
30,625,0.47571084,0.47571084,0.47571084,0.47571084,0.47571084
31,626,0.25965557,0.25965557,0.25965557,0.25965557,0.25965557
32,627,0.1250337,0.09580071,0.11635411,0.12732337,0.10456451
33,628,0.9480856,0.9480856,0.9480856,0.9480856,0.9480856
34,629,0.62227786,0.62227786,0.62227786,0.62227786,0.62227786
35,630,0.036555912,0.034201175,0.040189356,0.05884879,0.034797214
36,631,0.88824683,0.90173495,0.90996855,0.9018234,0.9008184
37,632,0.55832106,0.2403404,0.31089434,0.27525502,0.18403928
38,633,0.69542736,0.62184083,0.66408277,0.6594611,0.6051596
39,634,0.08044037,0.05016679,0.061656803,0.057962757,0.015242589
40,635,0.09147357,0.08812872,0.0767669,0.10127317,0.068575226
41,636,0.794439,0.794439,0.794439,0.794439,0.794439
42,637,0.084548905,0.043405063,0.04939342,0.080238,0.038099766
43,638,0.16471368,0.16471368,0.16471368,0.16471368,0.16471368
44,639,0.6289281,0.062244263,0.051216807,0.07090367,0.04730523
45,640,0.8060606,0.8060606,0.8060606,0.8060606,0.8060606
46,641,0.06861083,0.050736766,0.054720722,0.07147014,0.048378006
47,642,0.15285462,0.14956665,0.2649001,0.23145497,0.1305636
48,643,0.28813556,0.28813556,0.28813556,0.28813556,0.28813556
49,644,0.69542736,0.8229474,0.85968584,0.85265493,0.84504354
50,645,0.91315335,0.90808797,0.93232936,0.92009646,0.9266681
51,646,0.17526351,0.17526351,0.17526351,0.17526351,0.17526351
52,647,0.070521675,0.06842717,0.06910633,0.075859085,0.06398719
53,648,0.77661896,0.77661896,0.77661896,0.77661896,0.77661896
54,649,0.9352344,0.9324937,0.9464278,0.9338425,0.93576264
55,650,0.10288182,0.08285257,0.08241736,0.08893875,0.07841301
56,651,0.77384204,0.5876557,0.63125485,0.6363923,0.5744001
57,652,0.713141,0.09709829,0.082136765,0.11428559,0.085599504
58,653,0.27037388,0.25076434,0.28948784,0.30296338,0.27190742
59,654,0.22515786,0.22515786,0.22515786,0.22515786,0.22515786
60,655,0.37314853,0.37314853,0.37314853,0.37314853,0.37314853
61,656,0.1564175,0.027663795,0.025813213,0.038558494,0.017328395
62,657,0.97411436,0.969431,0.97686553,0.97352725,0.9768131
63,658,0.094876744,0.097675696,0.13065405,0.14262743,0.15073566
64,659,0.090431355,0.054382686,0.05793722,0.06908527,0.06163585
65,660,0.05695071,0.023240928,0.060177714,0.059115287,0.04947195
66,661,0.43915856,0.8010345,0.8406878,0.8277948,0.7688411
67,662,0.10437544,0.08602621,0.08915683,0.09509017,0.08873864
68,663,0.1171484,0.07973303,0.08906488,0.10041221,0.0992899
69,664,0.040274587,0.049941223,0.05068432,0.07332592,0.036406077
70,665,0.060301133,0.060301133,0.060301133,0.060301133,0.060301133
71,666,0.06265187,0.084701665,0.07064673,0.098438025,0.0730625
72,667,0.124383576,0.1234632,0.15469113,0.16730677,0.15095218
73,668,0.7093121,0.7093121,0.7093121,0.7093121,0.7093121
74,669,0.81576216,0.9112049,0.9252048,0.9156528,0.9263299
75,670,0.08404578,0.09071008,0.08932756,0.103811935,0.077305585
76,671,0.16316098,0.027543256,0.058789335,0.050797336,0.032973345
77,672,0.8606264,0.114619836,0.15045306,0.15270044,0.15198782
78,673,0.06641942,0.06641942,0.06641942,0.06641942,0.06641942
79,674,0.37723693,0.66247064,0.6663692,0.6722615,0.64781713
80,675,0.7385244,0.7385244,0.7385244,0.7385244,0.7385244
81,676,0.15452923,0.15890665,0.17793065,0.17326774,0.1614986
82,677,0.11154344,0.11154344,0.11154344,0.11154344,0.11154344
83,678,0.43765646,0.1590254,0.13909744,0.19017713,0.11236644
84,679,0.94992846,0.94992846,0.94992846,0.94992846,0.94992846
85,680,0.8453369,0.087234065,0.08876854,0.119936496,0.06194261
86,681,0.14964724,0.07261492,0.06249111,0.08295175,0.06516745
87,682,0.76980895,0.23131174,0.24005067,0.24198666,0.18382701
88,683,0.44447786,0.44447786,0.44447786,0.44447786,0.44447786
89,684,0.072632484,0.08366795,0.064447016,0.08499096,0.067835435
90,685,0.31089434,0.027027702,0.057985242,0.05267584,0.037907008
91,686,0.15001963,0.111408226,0.06872272,0.102624714,0.058576047
92,687,0.09700169,0.06998077,0.048905727,0.08776253,0.040259343
93,688,0.5620228,0.064824246,0.07499117,0.093733735,0.06536412
94,689,0.69542736,0.69542736,0.7279895,0.69749725,0.7093121
95,690,0.10849162,0.07061324,0.059128806,0.07078253,0.058547854
96,691,0.31089434,0.06345342,0.070246726,0.09074151,0.059829965
97,692,0.06660386,0.07424763,0.07185886,0.071951754,0.07620948
98,693,0.11659656,0.15536433,0.18625925,0.19455615,0.16446368
99,694,0.60477585,0.063785374,0.051290493,0.07274749,0.05236216
100,695,0.07246215,0.02886493,0.035176594,0.026047887,0.044649918
101,696,0.08334002,0.08334002,0.08334002,0.08334002,0.08334002
102,697,0.102534644,0.1478864,0.12207144,0.1557178,0.10400123
103,698,0.15776119,0.091008216,0.21674766,0.1857495,0.120102294
104,699,0.24109298,0.09375279,0.051528737,0.09794506,0.037695765
105,700,0.05042718,0.032763984,0.039962396,0.05167781,0.006362894
106,701,0.24339752,0.07043327,0.08214498,0.10561106,0.06878245
107,702,0.083730094,0.029910743,0.023136593,0.035193607,0.023418749
108,703,0.889427,0.104392685,0.0825659,0.089346595,0.08166009
109,704,0.018782223,0.05826733,0.06907058,0.09180203,0.06245398
110,705,0.7446422,0.12160334,0.104787156,0.12245136,0.099219516
111,706,0.34680524,0.1804703,0.18812041,0.25064495,0.15619922
112,707,0.084598616,0.084598616,0.084598616,0.084598616,0.084598616
113,708,0.3464276,0.2560201,0.27408957,0.31089434,0.27060273
114,709,0.1316007,0.07511526,0.081222184,0.09343734,0.077097386
115,710,0.09148925,0.084263265,0.039908484,0.082495995,0.04944563
116,711,0.6217597,0.62877023,0.64149296,0.62028575,0.6364068
117,712,0.44635752,0.430999,0.46297032,0.45513988,0.45536092
118,713,0.6331589,0.031291183,0.04733905,0.03909121,0.025375001
119,714,0.11897811,0.08546233,0.09627179,0.09225255,0.0880106
120,715,0.26131114,0.0064085913,0.008785054,0.0080183195,0.005587673
121,716,0.07014333,0.07014333,0.07014333,0.07014333,0.07014333
122,717,0.17049707,0.17049707,0.17049707,0.17049707,0.17049707
123,718,0.0912961,0.0886118,0.07578071,0.104676545,0.07517675
124,719,0.17363651,0.17363651,0.17363651,0.17363651,0.17363651
125,720,0.43679267,0.43679267,0.43679267,0.43679267,0.43679267
126,721,0.18059285,0.18335292,0.11226402,0.21513169,0.10250328
127,722,0.8451503,0.8451503,0.8451503,0.8451503,0.8451503
128,723,0.19674245,0.19674245,0.19674245,0.19674245,0.19674245
129,724,0.103741035,0.10461568,0.10409431,0.14858495,0.118446596
130,725,0.047716394,0.062380515,0.061387762,0.062286723,0.06250695
131,726,0.605119,0.605119,0.605119,0.605119,0.605119
132,727,0.056837868,0.024212906,0.04403067,0.04943233,0.036006387
133,728,0.04264116,0.04264116,0.04264116,0.04264116,0.04264116
134,729,0.9017844,0.06396361,0.06591828,0.08171796,0.06409973
135,730,0.94925326,0.94925326,0.94925326,0.94925326,0.94925326
136,731,0.095505424,0.0015529316,0.0022586752,0.0025331199,0.00199031
137,732,0.15506274,0.2636909,0.31736952,0.29850775,0.23966639
138,733,0.08712444,0.08712444,0.08712444,0.08712444,0.08712444
139,734,0.32552055,0.20207934,0.25363594,0.24323326,0.24037887
140,735,0.15156922,0.026934981,0.07274915,0.07946642,0.052552998
141,736,0.6387391,0.5371726,0.6585559,0.6331181,0.63415635
142,737,0.08635034,0.15769394,0.17943121,0.18318725,0.17955343
143,738,0.70219433,0.052203387,0.05464471,0.071205996,0.04471298
144,739,0.9151657,0.8892731,0.9156528,0.9054645,0.8606264
145,740,0.49058506,0.49058506,0.49058506,0.49058506,0.49058506
146,741,0.09442045,0.08334029,0.08214809,0.11113816,0.07878858
147,742,0.085200466,0.08623471,0.09785925,0.13239726,0.07661489
148,743,0.28490448,0.07155291,0.07594796,0.073100306,0.0665558
149,744,0.73307186,0.73307186,0.73307186,0.73307186,0.73307186
150,745,0.09788762,0.14823696,0.23994268,0.23594464,0.24090646
151,746,0.061943546,0.061943546,0.061943546,0.061943546,0.061943546
152,747,0.48867613,0.44240564,0.48481956,0.4707386,0.45088378
153,748,0.15425621,0.09992092,0.099074505,0.13416427,0.088525936
154,749,0.054638293,0.04811732,0.057379015,0.06360656,0.053145386
155,750,0.509777,0.12278337,0.15619755,0.1589342,0.14904523
156,751,0.08762797,0.090672985,0.10614682,0.11590721,0.11064162
157,752,0.6621841,0.6621841,0.6621841,0.6621841,0.6621841
158,753,0.5266601,0.5266601,0.5266601,0.5266601,0.5266601
159,754,0.070576794,0.062022205,0.07323917,0.077399194,0.06821265
160,755,0.063886955,0.063886955,0.063886955,0.063886955,0.063886955
161,756,0.058834326,0.058834326,0.058834326,0.058834326,0.058834326
162,757,0.28782555,0.086536445,0.09428186,0.12041007,0.0728313
163,758,0.74481755,0.69542736,0.73804116,0.71724725,0.69542736
164,759,0.0660914,0.07359421,0.08364104,0.093010396,0.07581535
165,760,0.38445932,0.11484705,0.11083715,0.15617123,0.07298963
166,761,0.106477596,0.106477596,0.106477596,0.106477596,0.106477596
167,762,0.13003945,0.08874443,0.0949732,0.11284848,0.070431635
168,763,0.115528196,0.15099461,0.09386612,0.2303611,0.14403075
169,764,0.19587061,0.19433439,0.23923825,0.19071239,0.19784468
170,765,0.73109436,0.15125124,0.18635692,0.20015816,0.16610818
171,766,0.4476393,0.4476393,0.4476393,0.4476393,0.4476393
172,767,0.04669413,0.04669413,0.04669413,0.04669413,0.04669413
173,768,0.124378525,0.10681986,0.11355243,0.11266974,0.10759852
174,769,0.1503339,0.07847572,0.086780466,0.07898413,0.07360124
175,770,0.10628574,0.10628574,0.10628574,0.10628574,0.10628574
176,771,0.059164133,0.08424236,0.07745335,0.09339117,0.069489
177,772,0.5876557,0.5876557,0.5876557,0.5876557,0.5876557
